Name,,PrepTime,TotalTime,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredient,AggregatedRating,ReviewCount,Calories,FatContent,,,,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions,CookTimeInMinutes
Tiramisu - Olive Garden,,PT0S,PT0S,Make and share this Tiramisu - Olive Garden recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/21/d6iLyKgmSFGW8q7cviXB_T%204%20-%20fil_2.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/21/W1eeFOS5QyGJdoi2loKZ_T%205%20-%20fil_3.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/21/YFlJrtPGRxKFvDuFkb1Y_T%201%20-%20ingredients.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/21/8ouvi6eAQ2mbwooXYAfQ_T%202%20-%20process.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/21/sB44PGeYQIejMfB25B9w_T%203%20-%20fil_1.jpg"")",Dessert,"c(""European"", ""< 15 Mins"")","c(""1"", ""3"", ""3"", ""1 1/2"", ""1 1/2"", )","c(""strong black coffee"", ""instant espresso"", ""rum"", ""cream cheese"", ""mascarpone"", ""extra finely granulated sugar"", ""powdered sugar"", ""cocoa powder"")",3.5,9,624,38.9,,,,54.6,0,53.5,6.8,6,1,"c(""Cut across the middle of the sponge cake to form two disks, about  1\""-1-1/2\"" thick, each."", ""Blend the coffee or espresso and liqueur together."", ""Sprinkle the bottom half of the cake with the coffee  liqueur blend, enough to flavor it strongly, but don't saturate the cake so much that it will collapse."", ""Mix the cream cheese or  mascarpone with the sugar and beat the cheese until the sugar is  completely dissolved and the cheese is light and spreadable."", ""Spread  the bottom half off the cake with half of the creamy cheese, in a  fairly thick layer."", 
""Set the second half of the cake on the bottom  half and repeat the process ~ sprinkle the coffee/liqueur blend and  spread with the remaining cream cheese."", ""Put the cocoa powder into a  wire strainer and coat the top layer of cream cheese completely with  cocoa."", ""Refrigerate the cake for at least two hours before cutting and  serving."")",0
Classic Tiramisu,,PT0S,PT0S,Make and share this Classic Tiramisu recipe from Food.com.,character(0),Dessert,"c(""European"", ""< 15 Mins"")","c(""2"", ""2 1/2"", ""1/4"", ""5"", ""1/4"", ""2"", ""7 3/4 - 8"", ""3"", ""1"", ""2"", )","c(""water"", ""sugar"", ""instant espresso powder"", ""brandy"", ""vanilla"", ""mascarpone"", ""cream cheese"", ""powdered sugar"")",4,1,116.6,7.4,,,,7.7,0.2,6.4,0.6,12,1,"c(""*If uvailable, substitute 8 ounces cream cheese, blended with 1/4"", ""cup whipping cream and 2 1/2 tablespoons sour cream."", ""Layer biscuits in the bottom of a 13X9X2\"" Pyrex dish."", ""Dissolve sugar  and espresso powder in water."", ""Add brandy and vanilla."", ""Pour 1 cup over  biscuits."", ""Beat cheese and 2 tablespoons powdered sugar until creamy."", ""Beat whipping cream in another bowl using clean beaters until peaks  form."", ""Gently fold into cheese mixture, half at a time. Spread evenly"")",0
Tiramisu III,,PT0S,PT0S,Make and share this Tiramisu III recipe from Food.com.,character(0),Dessert,"c(""European"", ""< 15 Mins"", ""Refrigerator"")","c(""6"", ""1/2"", ""2"", ""1 1/3"", ""1"", ""1 1/2"", ""24"", ""4"")","c(""granulated sugar"", ""brandy"", ""extra strong coffee"", ""mascarpone"", ""ricotta cheese"", ""giant Italian ladyfingers"")",4.63201371,0,441.4,30,,,,38.1,2.7,12.7,8.1,8,1,"c(""In bowl, beat egg yolks with sugar till light about 5 minutes."", ""Whisk  in 1/2 cup coffee and 1 Tbsp brandy or almond extract. Transfer to  double boiler, over gently simmering water, whisk for about 7  minutes, till thickened."", ""Let cool."", ""Beat cheese till smooth, fold into  egg mixture. Whip cream, stir 1/4 into egg mixture. Fold in remaining  cream."", ""Combine remaining strong coffee and 1 Tbsp brandy or almond  extract. Arrange 1/2 of ladyfingers in 11X7\"" glass baking dish, brush  with half of coffee mixture. Spread with half of cream mixture.  Repeat layers."", 
""Top with chocolate. Cover and refrigerate overnight.  Can be frozen for up to 2 weeks, let defrost in refrigerator for   24 hours."", ""the amount of liquor in this recipe has been reduced."")",0
Espresso Tiramisu,,PT0S,PT0S,Make and share this Espresso Tiramisu recipe from Food.com.,character(0),Dessert,"c(""Cheese"", ""< 15 Mins"")","c(""3"", ""1 1/2"", ""1/4"", ""3/4"", ""2/3"", ""1"", ""2"", ""1"", )","c(""mascarpone"", ""confectioners' sugar"", ""marsala"", ""heavy cream"", ""water"", ""instant espresso powder"", ""regular coffee powder"", ""instant espresso powder"", ""regular coffee powder"")",4.63201371,0,273.8,12.6,,,,34.1,0.1,17.9,2.1,10,1,"c(""In a medium bowl, using an electric mixer set on medium speed, beat"", ""together the mascarpone cheese, 1 c up of the confectioner's sugar and the Marsala until well blended."", ""Add the cream and beat until fluffy, about 1 minute. Set aside. In a small, heavy saucepan over high heat, combine the water, the remaining 1/2 cup confectioners' sugar and the espresso or coffee powder."", ""Bring to a boil, stirring occasiolly."", ""Remove from the heat and let cool."", ""Using a long serrated knife, cut the cake crosswise into slices 1/4- 1/3 inch thick."", 
""Select a 2 1/2-qt oval or rectangular glass or ceramic dish about 11 inches in diameter and 2 inches deep."", ""Arrange enough of the cake slices in a single layer over the bottom of the dish to cover completely, trimming to fit as needed."", ""Brush half of the cooled espresso syrup over the cake. Spread half of the cheese mixture evenly over the top."", ""Top with enough of the cake slices in a single layer to cover completely, trimming to fit as needed."", ""Brush the remaining cooled espresso syrup evenly over the top."", 
""Then spread the remaining cheese mixture over the top."", ""Cover with pla stic wrap and refrigerate up to 2 days."", ""Using a fine-mesh sieve, sift cocoa evenly top just before serving."", ""Using a large spoon, scoop the tiramisu onto individual plates."")",0
Charcoal Grilled Duck,,PT0S,PT0S,Make and share this Charcoal Grilled Duck recipe from Food.com.,character(0),Poultry,"c(""Meat"", ""< 15 Mins"")","c(""1"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"")","c(""duck"", ""honey"", ""salt"", ""hoisin sauce"", ""coriander powder"")",4.63201371,0,5530.8,526.5,,,,43,0.6,40,146.6,1,1,"c(""Wash duck and dry thoroughly."", ""Combine maride ingredients and rub all over"", ""Refrigerate for 1 hour."", ""Drain duck and keep maride as a basting liquid."", ""Grill duck over hot charcoal for 20 minutes each side turning over frequently"", ""Heat remaining maride gently and thicken with cornstarch mixed in cold water."", ""Pour over duck and serve."")",0
Braised Duck with Glutinous Rice,,PT0S,PT0S,Make and share this Braised Duck with Glutinous Rice recipe from Food.com.,character(0),Poultry,"c(""Rice"", ""Meat"", ""< 15 Mins"")","c(""1"", ""1"", ""3"", ""2"", ""2"", ""2"", ""2"", ""1"", ""4"", ""4"", ""2"")","c(""ducks"", ""glutinous rice"", ""salt"", ""black soy sauce"", ""Chinese wine"", ""sherry wine"", ""pepper"", ""scallions"", ""water"", ""brown sugar"")",4.63201371,0,6187.6,527.2,,,,183.4,6.7,28,162.8,1,1,"c(""Steam duck for 30 minutes."", ""Remove and cool."", ""Mix rice with shrimps, salt, 1 Tbsp."", ""of soy sauce, sesame oil, Chinese wine, pepper and scallions."", ""Stuff duck with  mixture and sew up cavity with thread."", ""Place in casserole with water and simmer  for 30 minutes or until tender."", ""Remove and reserve liquid."", ""In a clean wok add  soy sauce, sugar, sherry and 4 Tbsp."", ""of broth and simmer until thick."", ""Add duck  and glaze all over."", ""Serve hot."")",0
Maple Pecan Cheesecake,,PT0S,PT0S,Make and share this Maple Pecan Cheesecake recipe from Food.com.,character(0),Cheesecake,"c(""Dessert"", ""Fruit"", ""Nuts"", ""< 15 Mins"", ""Oven"")","c(""2"", ""6"", ""2"", ""1"", ""1/2"", ""3"", ""1/2"", ""1/2"", ""1"", ""3/4"", ""1"")","c(""unsalted butter"", ""cream cheese"", ""dark brown sugar"", ""maple syrup"", ""eggs"", ""sour cream"", ""salt"", ""vanilla"", ""pecans"")",4.63201371,0,1019.2,68.5,,,,89.9,2.6,51,15.9,8,1,"c(""In a bowl stir together the gingersp crumbs and the butter until the  mixture is combined well and press the mixture onto th  e bottom and  halfway up the side of a 9-inch springform pan."", ""Make the filling In a large bowl with an electric mixer cream together the cream  cheese and the brown sugar until the mixture is light and fluffy and beat in the  maple syrup."", ""Add the egg yolks, 1 at a time, beating well after each addition,  and beat in the sour cream, the salt, the vanilla, the maple extract, and the  pecans."", 
""In a bowl with the electric mixer, beaters cleaned, beat the egg whites  with a pinch of salt until they just hold stiff peaks, whisk about one fourth of  them onto the cream cheese mixture, and fold in the remaining whites gently but  thoroughly."", ""Pour the filling into the prepared crust and bake the cheesecake in  the middle of a preheated 350 F. oven for 1 hour."", ""Turn off the oven, let the  cheesecake cool completely in the oven with the door ajar, and chill it,  covered, overnight."")",0
Chocolate-Caramel-Pecan Cheesecake,,PT0S,PT0S,Make and share this Chocolate-Caramel-Pecan Cheesecake recipe from Food.com.,character(0),Cheesecake,"c(""Dessert"", ""Fruit"", ""Nuts"", ""< 15 Mins"", ""Oven"")","c(""1 1/4"", ""1/4"", ""1"", ""1"", ""1"", ""2"", ""1/2"", ""2"", ""1"", ""3/4"", )","c(""graham cracker crumbs"", ""butter"", ""margarine"", ""evaporated milk"", ""pecans"", ""cream cheese"", ""sugar"", ""eggs"", ""vanilla extract"", ""pecan halves"")",4.63201371,0,758.2,47,,,,77.4,2.7,60,11.3,8,1,"c(""Combine graham cracker crumbs and butter, stirring well."", ""Press mixture evenly onto bottom and 1 inch up sides of a 9-inch springform pan."", ""Unwrap caramels; combine with milk and heat over low heat until  caramels are melted, stirring often."", ""Pour over graham cracker crust;  sprinkle chopped pecans evenly over caramel layer and set aside."", ""Beat  cream cheese at high speed until light and fluffy; gradually add  sugar, mixing well."", ""Add eggs, one at a time, mixing well after each  one. Stir in vanilla and chocolate; beat until blended."", 
""Spoon over  pecan layer."", ""Bake at 350 degrees for 30 minutes."", ""Remove from oven,  and run knife around edge of pan to release sides."", ""Let cool t  o room  temperature on a wire rack; cover and chill at least 8 hours before  serving."", ""Top with pecan halves and serve."")",0
Caramel Pecan Cheesecake,,PT0S,PT0S,Make and share this Caramel Pecan Cheesecake recipe from Food.com.,character(0),Cheesecake,"c(""Dessert"", ""Fruit"", ""Nuts"", ""< 15 Mins"", ""Oven"")","c(""1/2"", ""2"", ""2"", ""2"", ""1/2"", ""1/2"", ""2"", ""20"", ""2"", ""1/2"")","c(""butter"", ""graham cracker crumbs"", ""sugar"", ""cream cheese"", ""sugar"", ""vanilla"", ""eggs"", ""milk"", ""pecans"")",5,3,406.6,27.6,,,,36.5,0.8,27.2,5.6,12,1,"c(""Mix together butter, crumbs and 2 Tbsp sugar."", ""Pat in bottom of"", ""springform pan."", ""Melt caramels and milk together."", ""Stir in pecans and  spread over crust. Beat well cream cheese, sugar, vanilla and eggs."", ""Pour over caramel."", ""Bake at 350 for 40 minutes."", ""Cool and refrigerate  for 3 hours."")",0
No Bake Chocolate Pecan Cheesecake,,PT0S,PT0S,Make and share this No Bake Chocolate Pecan Cheesecake recipe from Food.com.,character(0),Cheesecake,"c(""Dessert"", ""Fruit"", ""Nuts"", ""< 15 Mins"")","c(""1"", ""1/4"", ""2"", ""1/4"", ""250"", ""1/2"", ""3"", ""1"", ""6"", ""1"", ""1/2"", ""2"")","c(""pecans"", ""brown sugar"", ""butter"", ""cream cheese"", ""sugar"", ""eggs"", ""vanilla"", ""pecans"")",4.63201371,1,417.5,35.8,,,,25.2,4.1,14,7.3,12,1,"c(""Crust: Combine crumbs, pecans, sugar and butter ."", ""With the back of a spoon,  press mixture to the bottom of a lightly greased 9 inch springform pan."", ""Bake in  325 oven for 8 minutes."", ""Cool."", ""Filling: Beat cream cheese and 1/4 cup sugar with electric mixer until smooth."", ""Beat in egg yolks and vanilla, mixing well."", ""Blend in melted chocolate.  In another bowl, beat egg whites to soft peaks."", ""Add  remaining sugar and beat until stiff peaks form."", ""Fold egg whites and whipped  cream into chocolate mixture.  Stir until well blended."", 
""Pour over crust.  Garnish: Sprinkle with chopped pecans and drizzle with melted chocolate. Cover  with foil."", ""Freeze cheesecake for 3  hours or until firm."", ""When frozen solid,  remove from freezer 30 minutes before serving."")",0
Taco Rice,,PT0S,PT0S,Here is the version of Taco Rice that we have  made at our house. It came out of the freezer and tasted better  than the day we made it I thought. I also boiled  the ground beef. I made  it because it was a recipe that my sister-in-law wanted to make when we  were cooking together. My family liked it and so did I. I will  definitely  make this again.  Khandi                            Taco Rice,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/32/picmHlvXI.jpg""",Brown Rice,"c(""White Rice"", ""Rice"", ""Mexican"", ""< 15 Mins"")","c(""1"", ""1"", ""1"", ""1"", ""2"", ""2"")","c(""ground chicken"", ""ground turkey"", ""onion"", ""tomatoes"", ""white rice"", ""brown rice"", ""cheddar cheese"")",4.5,14,566.9,24.3,,,,56.3,3.1,3.3,28.6,6,1,"c(""ASSEMBLY Brown meat and drain."", ""Combine meat, onion,  taco seasoning packe t,  cooked rice and tomatoes in saucepan."", ""Simmer  until thick - about 30 minutes."", ""FREEZING & COOKING Cool, label, and freeze in bags or rigid  containers."", ""Also  freeze a ziptop bag with 2 cups of shredded cheese for  each meal."", ""TO SERVE: Thaw completely."", ""for taco salad, warm over  medium heat. Serve with  lettuce, taco chips, tomatoes, sour cream and  the enclosed cheese.          - - - - - - - - - - - - - - - - - -    NOTES : I made with Uncle Ben's Rice. My  kids rolled it up in warm tortillas to eat. I ate with fat free sour cream and salsa."", 
""It can also be used as a burrito filling."", ""It was better than I expected."")",0
Shepherd's Pie II,,PT0S,PT0S,"I prefer stew meat instead of ground beef, but either could be used. Frozen mixed vegetables can reduce preparation time.  I usually make extra mashed potatoes for a meal the day before and save them for this.",character(0),Meat,"c(""European"", ""< 15 Mins"", ""Oven"")","c(""1"", , ""1"", ""1 1/2"", ""1/2"", ""1/2"", ""1/4"", ""1/4"", ""4"", ""1"", ""1/2"", ""1"", ""2"", ""1"", ""4"")","c(""garlic"", ""beef broth"", ""dried basil"", ""dried thyme"", ""pepper"", ""onion"", ""water"", ""mashed potatoes"", ""chives"", ""mozzarella cheese"")",4.5,2,1794.9,52.5,,,,183.3,17,21.8,148.2,1,1,"c(""Brown meat over medium high heat.  Add garlic and saute 30 seconds (if  vegetables to be used cook quickly, add onion with garlic and saute until  tender).   Add broth and spices to meat and simmer covered for 30 min."", ""Chop  veggies."", ""Add onions and veggies (peas, carrots, green beans, celery, corn,  your choice), simmer until tender."", ""You may have to add vegetables at different  times so that they are all done at the same time depending on the vegetables  chosen."", ""Mix 1/2 cup water and gravy mix in bowl."", 
""Add to mixture and simmer 5 min."", ""Mix chives and taters."", ""Place meat mixture in bottom of 2 1/2 quart  casserole dish."", ""Top with taters."", ""Sprinkle with cheese  and bake at 375: for 10  min."", ""Note: This can be cooked in one dish if you use a cast iron chicken fryer or  Dutch oven."", ""Also tastes good with elk meat."")",0
Wild Rice Stuffed Morels,,PT0S,PT0S,Make and share this Wild Rice Stuffed Morels recipe from Food.com.,character(0),Rice,"c(""< 15 Mins"", ""Oven"")","c(""1 1/4"", ""4 1/2"", ""3"", ""1/4"", ""1"", ""2"", ""1 1/2"", ""1"", ""1"", ""2"", ""23"", , , ""2"", ""1/2"", )","c(""wild rice"", ""water"", ""chicken bouillon cubes"", ""pepper"", ""olive oil"", ""butter"", ""celery"", ""onion"", ""fresh thyme"", ""parsley"", ""garlic"", ""butter"", ""morels"", ""white wine"", ""parmesan cheese"")",4,1,59.9,1.8,,,,8.7,1,1,2.2,1,1,"c(""Soak rice in water to cover for 30 minutes."", ""Drain."", ""Dissolve bouillon cubes in 4 1/2 cups water, add pepper and bring to a boil."", ""Add rice slowly, so water doesn't stop boiling, turn down heat and simmer, covered, over low heat for 45 minutes."", ""Let sit off heat 15 minutes."", ""Drain off excess water."", ""In a skillet heat oil and butter."", ""Saute celery and onion until translucent, about 5 minutes."", ""Turn off heat and add thyme, parsley, garlic and salt and pepper to taste.         Preheat oven to 350 degrees."", 
""Prepare morels by brushing them off with a damp paper towel."", ""Trim off stems and, if necessary, enlarge the opening into the cap with a paring knife. Spread half the rice mixture in the bottom of a 2-quart casserole and top with butter."", ""Fill morels with as much of the rice mixture as each will hold."", ""Mound rice on top of each morel, and stand upright in the casserole. Repeat with remaining morels."", ""Drizzle with white wine and dust with Parmesan cheese if desired."", ""Cover and bake at 350 degrees for about 20 minutes."", 
""Lower heat to 300 and bake until morels are resilient, but tender, about another 25 minutes."")",0
Creamy Ham and Cheese Quiche,,PT10M,PT1H,Make and share this Creamy Ham and Cheese Quiche recipe from Food.com.,character(0),Savory Pies,"c(""Breakfast"", ""Pork"", ""Meat"", ""European"", ""< 60 Mins"", ""Oven"", ""Easy"")","c(""1"", ""4"", ""1"", ""1/2"", ""1"", , ""1"")","c(""eggs"", ""ham"", ""green pepper"", ""cheddar cheese"")",4.5,4,530.3,35.5,,,,26.9,2,2.1,25.2,4,1,"c(""Whisk together condensed soup and eggs."", ""Stir in ham, green pepper and Cheddar  cheese."", ""Pour mixture into unbaked pastry shell (placed on baking sheet)."", ""Bake in preheated 350F (180 C) oven for 50 minutes or until set and golden."", ""Cut into  wedges; serve immediately."")",50
South Pacific Islands Rum Punch,,PT0S,PT0S,Make and share this South Pacific Islands Rum Punch recipe from Food.com.,character(0),Punch Beverage,"c(""Beverages"", ""Pineapple"", ""Tropical Fruits"", ""Fruit"", ""< 15 Mins"", ""For Large Groups"")","c(""12 -15"", ""12"", ""2"", ""5"", ""6"", ""6"", ""6"", ""6"", ""10"", ""2"", ""6"", ""1"", , , )","c(""light rum"", ""dark rum"", ""raw brown sugar"", ""dark brown sugar"", ""vanilla beans"", ""oranges"", ""lemons"", ""limes"", ""grapefruits"", ""bas"", ""pineapple"", ""dry white wine"", ""orange"", ""lemon"", ""lime"")",4.63201371,0,446.4,0.3,,,,27.9,5.2,16.3,1.7,1,1,"c(""Pour rums into container."", ""Add sugar and vanilla beans."", ""Stir until sugar is  dissolved."", ""Cut the citrus fruits in half."", ""Squeeze juice into the rum; then toss  in the shells."", ""Peel and slice the bas."", ""Peel and slice the pineapple. Add  ba and pineapple to rum."", ""Cover container and let stand in a cool place for  two to three days."", ""Stir several times during each day."", ""On the day of the  celebration, remove pulp, vanilla beans and citrus rinds."", ""Pour rum mixture over  ice in a large punch bowl and let chill fo r a few hours."", 
""Just before serving add chilled white wine. Decorate bowl with sliced citrus fruits and float a few  slices in the punch."", ""If you don't have a large punch bowl, add ice to the  container; let chill."", ""Add wine just before serving - float citrus slices in the  punch."", ""----------- Notes: I recommend a new 15 gallon plus plastic garbage can with cover."", ""Wash and rinse well before using."", ""A new canoe paddle makes an excellent stirring device. (The bonus is they can be saved and used for this again, or can be used for their origil purpose.)  DO NOT USE a metal container (unless it is stainless steel). Due to the interaction of the rum and citric acids on metal - it would ruin the punch with a metallic flavour and the dissolved metals could poison your guests.""
)",0
Caribbean Vegetable & Chicken Curry,,PT0S,PT0S,"For a vegetarian version, omit first 4 ingredients.   This dish is much better the next day as it gives time for the flavours to  blend.",character(0),Chicken Breast,"c(""Chicken"", ""Pineapple"", ""Poultry"", ""Tropical Fruits"", ""Fruit"", ""Vegetable"", ""Meat"", ""Caribbean"", ""< 15 Mins"")","c(""6"", ""2"", ""2"", ""3"", ""1"", ""3"", ""2"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1/2"", ""1"", ""2"", ""1"", ""2"", ""1"", ""3/4"", , ""1"", ""2"", ""1/2"")","c(""boneless skinless chicken breasts"", ""Dijon mustard"", ""curry powder"", ""garlic"", ""hot chili pepper"", ""allspice"", ""cinmon"", ""nutmeg"", ""onion"", ""leek"", ""water"", ""tomato puree"", ""potatoes"", ""sweet potato"", ""carrots"", ""milk"", ""chickpeas"", ""plantains"", ""fresh cilantro"", ""parsley"")",4,5,264.7,5.9,,,,32.1,5.4,8.3,22.4,8,1,"c(""Pat chicken dry."", ""In small bowl, combine mustard, sesame oil and 1 tbsp. curry  powder."", ""Preheat barbecue or broiler and grill chicken  for 5 minutes per side (chicken will not be completely cooked). Cut into 2-inch  chunks."", ""Reserve. Heat oil in large, deep skillet or Dutch oven."", ""Add garlic,  ginger and hot chile pepper."", ""Cook for 30 seconds."", ""Add remaining 2 tbsp. curry  powder, allspice, cinmon and nutmeg."", ""Cook for 30 seconds longer."", ""Add onion,  leek and stock."", ""Cook until liquid evaporates."", 
""Add pureed tomatoes and bring to  boil."", ""Add potatoes and sweet potato and cook, covered, for 10 minutes."", ""Add  carrots, squash, pineapple juice, plantains, chickpeas and chicken and cook,  covered, for 30 minutes longer."", ""Taste and adjust seasonings if necessary."", ""To  serve, sprinkle with cilantro."")",0
Tiki Torch Chicken Satays,,PT0S,PT0S,Make and share this Tiki Torch Chicken Satays recipe from Food.com.,character(0),Chicken Breast,"c(""Chicken"", ""Poultry"", ""Meat"", ""High Protein"", ""Healthy"", ""High In..."", ""< 15 Mins"", ""Easy"")","c(""16"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"")","c(""curry powder"", ""garlic"", ""soy sauce"", ""lemon juice"", ""honey"", ""water"", ""boneless skinless chicken breast"")",3,2,37.9,0.8,,,,1.3,0.1,1.1,6.2,1,1,"c(""In a large bowl, combine the curry, garlic, soy sauce, lemon juice, honey and  water."", ""Add the chicken strips and marite in the refrigerator for 1 hour."", ""Thread 1 chicken strip on each skewer and grill on medium high heat 4 minutes  per side until chicken is cooked through."")",0
Apple Date Crisp,,PT0S,PT0S,Make and share this Apple Date Crisp recipe from Food.com.,character(0),Dessert,"c(""Apple"", ""Fruit"", ""Low Protein"", ""< 15 Mins"", ""Oven"")","c(""8"", ""2"", ""2/3"", ""1/2"", ""1"", ""1/3"", ""1"", )","c(""tart apples"", ""dates"", ""brown sugar"", ""all-purpose flour"", ""cinmon"", ""butter"", ""margarine"", ""apple"")",4.63201371,0,583.1,22.6,,,,98,10.5,73.3,6.8,1,1,"c(""Combine the apples and dates in an ungreased 13x9x2\"" baking dish."", ""In a  small bowl, combine sugar, flour and cinmon; cut in butter until  crumbly."", ""Add nuts; sprinkle over apples."", ""Bake at 375 degrees for 35-40  minutes or until the apples are tender."", ""Ser ve warm."", ""Garnish with apple  slices if desired."", ""Alan Hewitt     The UK Recipe Archive recipes on-line in Mastercookand Mealmaster formats."", ""To download go to - http://ukrecipes.co.uk/"")",0
Southwestern Egg Rolls,,PT5M,PT35M,"Adopted! For authenticity, leave out the spich and substitute roasted corn. Replace jack and cheddar with queso blanco.
A good addition would be grilled corn kernels. Yum!
Prep time does not include the heating time for the oil. I have reworked the recipe so that it actually makes sense. I think?",character(0),Southwestern U.S.,"c(""Healthy"", ""< 60 Mins"")","c(""4"", ""1"", ""8"", ""2"", ""1/2"", ""4"", ""1"", , ""3/4"", ""8"", ""25"", )","c(""boneless skinless chicken breasts"", ""black beans"", ""frozen spich"", ""fresh tomatoes"", ""fresh cilantro"", ""green onions"", ""cumin"", ""cheddar cheese"", ""monterey jack pepper cheese"")",5,3,778.9,19.9,,,,96.6,9.9,2,51.7,6,1,"c(""Combine beans with reserved juice, spich, tomatoes, cilantro, onions, cumin, salt and pepper to taste in a large stainless or glass bowl. Refrigerate while the chicken is cooking."", ""Either bake, broil or grill the chicken until almost done, still pink in the middle."", ""Remove chicken from oven or grill, let cool slightly, shred with a sharp knife or by hand."", ""Remove vegetable mixture from refrigerator, strain out any liquid, stir in the cheeses and shredded chicken."", ""Following the directions included in the eggroll wrapper package, make individual rolls with the vegetable, cheese and chicken mixture."", 
""Place on baking sheet and put in freezer while oil to fry is heating."", ""When oil has reached 375F, bring the eggrolls out and fry them 3 to 4 at a time, until crispy and golden brown. This will take about 5 minutes. When the rolls are done, they will float and there should be very little bubbling of the fat around them. They shouldn't spatter much, but be careful."", ""Remove each batch of rolls to a cooling rack and place in a slow oven (275F) while cooking the remaining rolls."", ""When all rolls are cooked, cut them in half, diagolly. Serve with whatever type of dipping sauce you prefer.""
)",30
Halloween Ske Bits,,PT0S,PT0S,Make and share this Halloween Ske Bits recipe from Food.com.,character(0),High In...,"c(""Halloween"", ""< 15 Mins"", ""Easy"")","c(""1"", ""2"", ""1"", ""16"", ""1"")","c(""rigatoni pasta"", ""barbecue sauce"", ""black peppercorns"", ""carrot"")",5,1,3943.8,159.2,,,,473.4,14.9,154.8,152.9,1,1,"c(""Cook pasta according to directions on package. Rinse the pasta in cold water."", ""To make skes:Covering one end of the rigatoni with your finger (to prevent leakage), carefully fill each piece of pasta with cheese spread."", ""Place six to eight cheese-filled rigatonis end to end on a serving platter, in a realistically curvy ske shape.  Using a toothpick, spread lines of barbecue sauce along the top of each ske for markings."", ""To form heads, use barbecue sauce to glue two black peppercorn eyes onto the end opposite the tail of each ske. Wash, dry and carefully peel skin off carrot. When completely clean of skin,make one more peeling for each ske you have formed."", 
""At the rrow end of each peel, carefully cut out a long, thin triangle. These are your skes forked tongues."", ""Position tongues."")",0
Pumpkin Au Gratin,,PT15M,PT2H15M,This is a simple recipe to make. It is quick in preparation time but a bit long  in baking time (2 hours). It tastes very nice. (simple recipes doesn't mean you  eat bad things).  This principle can be used as a base to make other &quot;au gratin&quot; vegetables. I am thinking of making a courgette tian (adapted from a non vegan  recipe).,character(0),European,"c(""Low Protein"", ""Vegan"", ""Low Cholesterol"", ""Healthy"", ""Oven"", ""< 4 Hours"")","c(""250"", ""1"", ""1/2"", ""1"", ""1"", , )","c(""pumpkin"", ""soymilk"", ""garlic clove"", ""olive oil"", ""salt"")",4.63201371,0,28.6,1.2,,,,3.8,0.5,0.8,1.3,6,1,"c(""Preheat the oven (300°F, 150°C, Th 5).  Put the pumpkin dices in a oven dish."", ""Put the garlic, almond puree, olive oil and salt in bowl."", ""Pour the soy milk  little by little while stirring."", ""The mixture has to be smooth."", ""Pour the mixture  over the pumpkin."", ""Sprinkle with ground bread crumbs."", ""Put in the oven and bake  for 2 hours."", ""NB: if you like almonds, you can add 1 tea spoon ground almonds in the mixture  before adding the soy milk."")",120
